,field_1,access,addr_house,addr_hou_1,addr_inter,admin_leve,aerialway,aeroway,amenity,area,barrier,bicycle,boundary,brand,bridge,building,constructi,covered,culvert,cutting,denominati,disused,embankment,foot,generator_,harbour,highway,historic,horse,intermitte,junction,landuse,layer,leisure,lock,man_made,military,motorcar,name,natural,office,oneway,operator,osm_id,place,population,power,power_sour,public_tra,railway,ref,religion,route,service,shop,sport,surface,tags,toll,tourism,tower_type,tunnel,water,waterway,wetland,width,wood,z_order,tracktype,way_area,origarea,origlen,partialDec,truncated,geometry
0,660,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,Occlusion,,,,,8086,,,,,,,,,,,,,,"""security:classification""=>""UNCLASSIFIED"",""source""=>""Unknown""",,,,,,,,,,-999999,,-999999.0,137.5869833444336,0,1.0,0,"POLYGON ((742959.5157261142 3739469.858595584, 742964.2412947685 3739469.934550551, 742964.2835617226 3739467.18306186, 742968.7404872194 3739467.252177057, 742968.7827553968 3739464.50068832, 742970.1818431471 3739464.5252224, 742970.3714329029 3739451.621851874, 742963.6070103869 3739451.527265817, 742963.4608848467 3739461.268512606, 742959.6434285438 3739461.204586885, 742959.5157261142 3739469.858595584))"
1,661,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,Occlusion,,,,,8229,,,,,,,,,,,,,,"""security:classification""=>""UNCLASSIFIED"",""source""=>""Unknown""",,,,,,,,,,-999999,,-999999.0,232.75674536334253,0,1.0,0,"POLYGON ((743020.5285401859 3739472.034202539, 743027.7523358399 3739473.017358276, 743027.9560968133 3739471.568572332, 743030.4316793848 3739471.909114651, 743031.0890603127 3739467.208761358, 743031.6330556386 3739464.048288816, 743033.5432770674 3739464.385528093, 743035.4323498101 3739453.545475867, 743022.4840836683 3739451.306581199, 743020.9414738066 3739460.1909273, 743022.0743392245 3739460.841333462, 743020.5285401859 3739472.034202539))"
2,662,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,Occlusion,,,,,8228,,,,,,,,,,,,,,"""security:classification""=>""UNCLASSIFIED"",""source""=>""Unknown""",,,,,,,,,,-999999,,-999999.0,115.83593626400437,0,1.0,0,"POLYGON ((743003.1399996518 3739467.617796136, 743015.3542409713 3739467.740245839, 743015.3977939934 3739462.391609387, 743017.5941185456 3739462.414260812, 743017.6373293742 3739457.442983567, 743011.2706792641 3739457.380694342, 743011.2414975561 3739460.709668207, 743005.2546582168 3739460.657057802, 743005.2795396517 3739457.860729276, 743003.231432164 3739457.841856197, 743003.1399996518 3739467.617796136))"
3,663,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,7812,,,,,,,,,,,,,,"""security:classification""=>""UNCLASSIFIED"",""source""=>""Unknown""",,,,,,,,,,-999999,,-999999.0,1117.803722432596,0,1.0,0,"POLYGON ((742737.216587933 3739529.428720969, 742737.2726519796 3739527.953976202, 742741.2542792484 3739528.121883995, 742741.9995199341 3739510.127116858, 742744.0181279983 3739510.211778471, 742744.1330298374 3739507.517637256, 742742.058839861 3739507.431561362, 742742.5669390478 3739495.113465066, 742744.3449797556 3739495.180906138, 742745.0815230057 3739477.163720175, 742722.4685948562 3739476.244281095, 742720.3770908483 3739527.479686408, 742728.5166346187 3739527.808876015, 742728.4659341584 3739529.072875594, 742737.216587933 3739529.428720969))"
4,664,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,Occlusion,,,,,120819,,,,,,,,,,,,,,"""security:classification""=>""UNCLASSIFIED"",""source""=>""Unknown""",,,,,,,,,,-999999,,-999999.0,868.6465770175508,0,1.0,0,"POLYGON ((742779.0589662758 3739517.785098479, 742785.7264630584 3739518.043576586, 742785.7797116076 3739516.679750225, 742787.9002177101 3739516.767014552, 742788.018007018 3739513.595687717, 742789.4963797061 3739512.689894631, 742794.7850222825 3739512.85779129, 742794.7384953512 3739514.321680113, 742800.8142568704 3739514.520712196, 742800.8579616819 3739513.167741883, 742804.8404431387 3739513.302400339, 742806.719179487 3739511.962838294, 742809.5193322457 3739513.754459812, 742810.8216116317 3739515.39696687, 742810.8425385487 3739518.216655498, 742815.6076734723 3739518.193654652, 742817.1555002977 3739514.559269692, 742818.4727785089 3739513.427399684, 742820.7698578427 3739513.496967576, 742821.0155526869 3739505.30103076, 742818.8296341306 3739505.234292389, 742818.9082965751 3739502.872199133, 742817.049548522 3739503.79050431, 742814.6007570606 3739498.755805385, 742814.9873573856 3739494.492515358, 742817.0303021728 3739493.257025897, 742819.6744798073 3739492.436405651, 742805.5144255088 3739491.920608293, 742805.3067322085 3739497.531435517, 742789.7855063399 3739496.958818469, 742787.9062348148 3739496.134058065, 742787.21331656 3739494.95102441, 742788.1948983755 3739493.533130954, 742788.6153025262 3739492.311837214, 742788.6233625122 3739490.902464679, 742775.3039837473 3739490.86316813, 742776.4324709803 3739492.778722805, 742776.4256696098 3739495.231436581, 742779.1062013684 3739497.352975133, 742778.8313719494 3739499.41040163, 742777.2480186591 3739502.255856039, 742776.2833758653 3739503.008239368, 742773.9964049477 3739502.905642527, 742773.7390761343 3739508.282126087, 742779.373780194 3739510.878410715, 742779.8477320484 3739514.109192995, 742779.1370028395 3739515.811456004, 742779.0589662758 3739517.785098479))"
5,665,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,Occlusion,,,,,7813,,,,,,,,,,,,,,"""security:classification""=>""UNCLASSIFIED"",""source""=>""Unknown""",,,,,,,,,,-999999,,-999999.0,446.8580438238858,0,0.4599659863913662,1,"POLYGON ((742693.3122179032 3739539, 742694.5911374168 3739534.692852943, 742701.8596583691 3739536.831200783, 742703.3902353786 3739531.686894269, 742687.859493556 3739527.118546354, 742687.4643547137 3739528.440377403, 742683.2411743457 3739527.200840465, 742681.172764875 3739530.167156974, 742679.1856038158 3739536.498545914, 742677.5853192207 3739536.002776217, 742676.6595880231 3739539, 742693.3122179032 3739539))"
6,666,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,Occlusion,,,,,120818,,,,,,,,,,,,,,"""security:classification""=>""UNCLASSIFIED"",""source""=>""Unknown""",,,,,,,,,,-999999,,-999999.0,921.0009706238087,0,0.13212004440894673,1,"MULTIPOLYGON (((742820.9164519846 3739539, 742819.2061650158 3739537.419993884, 742819.3015388706 3739534.037214165, 742810.5031569091 3739533.735573504, 742810.4563450023 3739535.210554277, 742808.8447725036 3739535.158436355, 742808.7962669341 3739536.699968245, 742807.3359817594 3739538.716122539, 742806.6252731845 3739539, 742820.9164519846 3739539)), ((742784.7538719983 3739539, 742786.5276360018 3739535.73363368, 742785.0281770587 3739534.918539529, 742785.0537910719 3739532.455205162, 742775.2400383659 3739532.349736623, 742775.1763434813 3739538.130713525, 742775.8829740167 3739539, 742784.7538719983 3739539)))"
7,667,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,Occlusion,,,,,122421,,,,,,,,,,,,,,"""security:classification""=>""UNCLASSIFIED"",""source""=>""Unknown""",,,,,,,,,,-999999,,-999999.0,628.0617074431335,0,0.6854550148892067,1,"POLYGON ((743051 3739240.429075356, 743019.7339072112 3739241.220183459, 743020.0951837152 3739255.058807612, 743051 3739254.279686034, 743051 3739240.429075356))"
8,668,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,Occlusion,,,,,122449,,,,,,,,,,,,,,"""security:classification""=>""UNCLASSIFIED"",""source""=>""Unknown""",,,,,,,,,,-999999,,-999999.0,164.34510745720252,0,0.3268898818394317,1,"POLYGON ((743046.4084919207 3739315.608520228, 743051 3739315.560417519, 743051 3739304.00325697, 743046.2950427994 3739304.051510714, 743046.4084919207 3739315.608520228))"
9,669,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,Occlusion,,,,,84910,,,,,,,,,,,,,,"""security:classification""=>""UNCLASSIFIED"",""source""=>""Unknown""",,,,,,,,,,-999999,,-999999.0,67.0691122589702,0,1.0,0,"POLYGON ((741360.3983888365 3743875.358136298, 741367.4885894872 3743871.975018986, 741362.9199707231 3743862.502813682, 741357.5458472944 3743865.074794827, 741360.0725632336 3743870.299843532, 741360.3983888365 3743875.358136298))"
10,666,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,Occlusion,,,,,120818,,,,,,,,,,,,,,"""security:classification""=>""UNCLASSIFIED"",""source""=>""Unknown""",,,,,,,,,,-999999,,-999999.0,921.0009706238087,0,0.13212004440894673,1,"POLYGON ((742820.9164519846 3739539, 742819.2061650158 3739537.419993884, 742819.3015388706 3739534.037214165, 742810.5031569091 3739533.735573504, 742810.4563450023 3739535.210554277, 742808.8447725036 3739535.158436355, 742808.7962669341 3739536.699968245, 742807.3359817594 3739538.716122539, 742806.6252731845 3739539, 742820.9164519846 3739539))"
11,666,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,Occlusion,,,,,120818,,,,,,,,,,,,,,"""security:classification""=>""UNCLASSIFIED"",""source""=>""Unknown""",,,,,,,,,,-999999,,-999999.0,921.0009706238087,0,0.13212004440894673,1,"POLYGON ((742784.7538719983 3739539, 742786.5276360018 3739535.73363368, 742785.0281770587 3739534.918539529, 742785.0537910719 3739532.455205162, 742775.2400383659 3739532.349736623, 742775.1763434813 3739538.130713525, 742775.8829740167 3739539, 742784.7538719983 3739539))"
